time,open,high,low,close,Volume,Volume MA
2015-12-18T08:00:00Z,98.708,99.107,98.695,98.886,NaN,NaN
2015-12-18T12:00:00Z,98.893,99.101,98.716,98.845,NaN,NaN
2015-12-18T16:00:00Z,98.84,98.917,98.687,98.703,NaN,NaN
2015-12-18T20:00:00Z,98.7,98.738,98.636,98.722,NaN,NaN
2015-12-21T00:00:00Z,98.689,98.75,98.58,98.688,NaN,NaN
2015-12-21T04:00:00Z,98.684,98.727,98.594,98.682,NaN,NaN
2015-12-21T08:00:00Z,98.693,98.838,98.61,98.748,NaN,NaN
2015-12-21T12:00:00Z,98.752,98.808,98.404,98.437,NaN,NaN
2015-12-21T16:00:00Z,98.432,98.505,98.294,98.363,NaN,NaN
2015-12-21T20:00:00Z,98.37,98.496,98.359,98.47,NaN,NaN
2015-12-22T00:00:00Z,98.449,98.508,98.378,98.429,NaN,NaN
2015-12-22T04:00:00Z,98.431,98.503,98.389,98.389,NaN,NaN
2015-12-22T08:00:00Z,98.39,98.484,98.212,98.225,NaN,NaN
2015-12-22T12:00:00Z,98.236,98.301,98,98.127,NaN,NaN
2015-12-22T16:00:00Z,98.129,98.272,98.038,98.235,NaN,NaN
2015-12-22T20:00:00Z,98.234,98.243,98.159,98.217,NaN,NaN
2015-12-23T00:00:00Z,98.208,98.318,98.185,98.232,NaN,NaN
2015-12-23T04:00:00Z,98.226,98.315,98.225,98.267,NaN,NaN
2015-12-23T08:00:00Z,98.27,98.407,98.226,98.255,NaN,NaN
2015-12-23T12:00:00Z,98.254,98.551,98.245,98.535,NaN,NaN
2015-12-23T16:00:00Z,98.536,98.604,98.288,98.341,NaN,NaN
2015-12-23T20:00:00Z,98.343,98.401,98.257,98.395,NaN,NaN
2015-12-24T00:00:00Z,98.339,98.352,98.111,98.21,NaN,NaN
2015-12-24T04:00:00Z,98.217,98.237,98.031,98.046,NaN,NaN
2015-12-24T08:00:00Z,98.054,98.119,97.94,98.029,NaN,NaN
2015-12-24T12:00:00Z,98.034,98.122,97.927,97.938,NaN,NaN
2015-12-24T16:00:00Z,97.931,98.022,97.865,97.911,NaN,NaN
2015-12-24T20:00:00Z,97.905,97.987,97.864,97.896,NaN,NaN
2015-12-25T00:00:00Z,97.868,98.001,97.848,97.886,NaN,NaN
2015-12-25T04:00:00Z,97.884,97.91,97.83,97.867,NaN,NaN
